route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
001,109.0.1,1040784,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398685,56204,0,0
001,109.0.1,1040783,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398680,56205,0,0
001,109.0.1,1040782,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398683,56204,0,0
001,109.0.1,1040781,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398682,56205,0,0
001,109.0.1,1040780,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398689,56204,0,0
001,109.0.1,1040779,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398694,56205,0,0
001,109.0.1,1040778,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398693,56204,0,0
001,109.0.1,1040777,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398696,56205,0,0
001,109.0.1,1040776,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398695,56204,0,0
001,109.0.1,1040775,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398688,56205,0,0
001,109.0.1,1040774,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398686,56204,0,0
001,109.0.1,1040773,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398687,56205,0,0
001,109.0.1,1040772,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398684,56204,0,0
001,109.0.1,1040771,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398685,56205,0,0
001,109.0.1,1040830,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398681,56204,0,0
001,109.0.1,1040829,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398683,56205,0,0
001,109.0.1,1040828,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398680,56204,0,0
001,109.0.1,1040827,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398689,56205,0,0
001,109.0.1,1040826,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398682,56204,0,0
001,109.0.1,1040769,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398696,56205,0,0
001,109.0.1,1040768,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398693,56204,0,0
001,109.0.1,1040767,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398688,56205,0,0
001,109.0.1,1040770,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398695,56203,0,0
001,109.0.1,1040834,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398687,56205,0,0
001,109.0.1,1040835,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,,0,398686,56204,0,0
